audio_path,transcript,lang,lang_code,gender,age,country,accent
AUDIO_PATH_HERE/563GvY3JnL02fzRVeBixfGtMdnoer4co/audio.wav,2,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/EsElOIcf8DSiOTn1uoihsYiVKjDWXwKH/audio.wav,8,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/Lho37ibFw7DLVWkoM938tHwOHoXQMBxn/audio.wav,1,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/PLCZorkfFETumoeZtFxbxDgiirdotMDj/audio.wav,6,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/Qlqz7bCCQUJuZYiTDgLxFhElL4AncAH7/audio.wav,7,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/RPpLfCif8x4PdQ72UKfu6dIS0KL6ykpG/audio.wav,2,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/RqIXoxvj5H0dZnVEGvcniu51DBtRhQdO/audio.wav,9,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/ShQndU1J91oMgdpql7M6DMMZh5cz6OOX/audio.wav,0,rundi,run,Male,22.0,Russian Federation,
AUDIO_PATH_HERE/W9B3cV1kcgGmQFpxIyvr6mEa452l3nm9/audio.wav,0,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/c9mOhhX7P9OWpNlL553HKtVJNTdXSr31/audio.wav,1,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/gSP8CY3aIQ9cyGEk21Lx9cW4lrtx8vND/audio.wav,5,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/gWTQuRBCeuzC1KXAi2uDRogfeF3m1kXA/audio.wav,8,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/hg7j1j5j68W9C9xSqnLxbGGLWS4nQgpd/audio.wav,6,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/kxHnUISZxxlc0yOG8bORlB3vLCJC2aTJ/audio.wav,4,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/nUh0Lc7ebTCsOhfucEHx9UfR2TW3MCmz/audio.wav,0,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/owaq00KwBuFw9n68uwsZAdLesEMRNteQ/audio.wav,3,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/p34rQlhMwuOkmqhltKEd8lYW2xYPN3do/audio.wav,4,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/t0SZ6UYC4VShMRj9YB6kvm16xtL2g1Hn/audio.wav,3,rundi,run,Male,25.0,France,
AUDIO_PATH_HERE/tF3MBOD3L6tHfmRYoO8u1kdwgUlaMPZr/audio.wav,9,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/tkyZJyB9IS2PJ8HNgqOybUSdnrTl48up/audio.wav,5,rundi,run,Male,29.0,France,
AUDIO_PATH_HERE/ymcDTONPY8vVWyNC3dEqtuA7BRZGnaVx/audio.wav,7,rundi,run,Male,25.0,France,
